Connecting to host 10.0.0.2, port 5206
[  4] local 10.0.0.1 port 46120 connected to 10.0.0.2 port 5206
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   787 Kbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   215 KBytes  1.76 Mbits/sec    0   42.4 KBytes       
[  4]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  4]   3.00-4.00   sec  70.7 KBytes   580 Kbits/sec    0   45.2 KBytes       
[  4]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   45.2 KBytes       
[  4]   5.00-6.01   sec   127 KBytes  1.03 Mbits/sec    0   63.6 KBytes       
[  4]   6.01-7.00   sec   255 KBytes  2.11 Mbits/sec    0   96.2 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   96.2 KBytes       
[  4]   8.00-9.00   sec   318 KBytes  2.60 Mbits/sec    0    144 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0    144 KBytes       
[  4]  10.00-11.00  sec   318 KBytes  2.61 Mbits/sec    0    181 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0    181 KBytes       
[  4]  12.00-13.00  sec   255 KBytes  2.09 Mbits/sec    0    212 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0    212 KBytes       
[  4]  14.00-15.00  sec   764 KBytes  6.26 Mbits/sec    0    317 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0    317 KBytes       
[  4]  16.00-17.00  sec  1.12 MBytes  9.39 Mbits/sec    0    469 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0    469 KBytes       
[  4]  18.00-19.00  sec   445 KBytes  3.65 Mbits/sec    0    529 KBytes       
[  4]  19.00-20.00  sec  1.06 MBytes  8.85 Mbits/sec   13    625 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    625 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0    625 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    598 KBytes       
[  4]  23.00-24.00  sec   636 KBytes  5.22 Mbits/sec    0    471 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    471 KBytes       
[  4]  25.00-26.00  sec  63.6 KBytes   520 Kbits/sec   16    368 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    1    329 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0    329 KBytes       
[  4]  28.00-29.00  sec   382 KBytes  3.13 Mbits/sec    0    329 KBytes       
[  4]  29.00-30.00  sec   382 KBytes  3.13 Mbits/sec    0    334 KBytes       
[  4]  30.00-31.01  sec  0.00 Bytes  0.00 bits/sec    0    334 KBytes       
[  4]  31.01-32.00  sec   382 KBytes  3.15 Mbits/sec    0    372 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    373 KBytes       
[  4]  33.00-34.00  sec   318 KBytes  2.61 Mbits/sec    0    387 KBytes       
[  4]  34.00-35.00  sec  63.6 KBytes   521 Kbits/sec    0    390 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    390 KBytes       
[  4]  36.00-37.00  sec   318 KBytes  2.61 Mbits/sec    0    406 KBytes       
[  4]  37.00-38.00  sec  63.6 KBytes   522 Kbits/sec    6    396 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    396 KBytes       
[  4]  39.00-40.02  sec  0.00 Bytes  0.00 bits/sec   18    287 KBytes       
[  4]  40.02-41.00  sec  0.00 Bytes  0.00 bits/sec    0    287 KBytes       
[  4]  41.00-42.01  sec   509 KBytes  4.12 Mbits/sec    0    293 KBytes       
[  4]  42.01-43.00  sec   127 KBytes  1.06 Mbits/sec    0    305 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0    305 KBytes       
[  4]  44.00-45.00  sec   382 KBytes  3.13 Mbits/sec    0    363 KBytes       
[  4]  45.00-46.02  sec  0.00 Bytes  0.00 bits/sec    0    365 KBytes       
[  4]  46.02-47.00  sec  0.00 Bytes  0.00 bits/sec    0    365 KBytes       
[  4]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec   17    256 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0    256 KBytes       
[  4]  49.00-50.00  sec  63.6 KBytes   519 Kbits/sec   11    256 KBytes       
[  4]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0    256 KBytes       
[  4]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    256 KBytes       
[  4]  52.00-53.00  sec   636 KBytes  5.22 Mbits/sec    0    233 KBytes       
[  4]  53.00-54.01  sec  63.6 KBytes   518 Kbits/sec    6    205 KBytes       
[  4]  54.01-55.00  sec  0.00 Bytes  0.00 bits/sec    0    202 KBytes       
[  4]  55.00-56.00  sec  63.6 KBytes   520 Kbits/sec    0    178 KBytes       
[  4]  56.00-57.01  sec   191 KBytes  1.55 Mbits/sec    0    180 KBytes       
[  4]  57.01-58.00  sec   255 KBytes  2.10 Mbits/sec    0    199 KBytes       
[  4]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0    201 KBytes       
[  4]  59.00-60.00  sec   191 KBytes  1.56 Mbits/sec    0    209 KBytes       
[  4]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    0    211 KBytes       
[  4]  61.00-62.00  sec  63.6 KBytes   520 Kbits/sec    0    214 KBytes       
[  4]  62.00-63.00  sec   127 KBytes  1.04 Mbits/sec    0    219 KBytes       
[  4]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec    1    154 KBytes       
[  4]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0    153 KBytes       
[  4]  66.00-67.00  sec   382 KBytes  3.12 Mbits/sec    0    188 KBytes       
[  4]  67.00-68.01  sec  0.00 Bytes  0.00 bits/sec    0    189 KBytes       
[  4]  68.01-69.00  sec   127 KBytes  1.05 Mbits/sec    0    206 KBytes       
