Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   559 KBytes  4.57 Mbits/sec    0   70.7 KBytes       
[  4]   1.00-2.00   sec   255 KBytes  2.09 Mbits/sec    0   82.0 KBytes       
[  4]   2.00-3.00   sec   318 KBytes  2.60 Mbits/sec    0   94.7 KBytes       
[  4]   3.00-4.00   sec   255 KBytes  2.08 Mbits/sec    0    105 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0    115 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.60 Mbits/sec    0    140 KBytes       
[  4]   6.00-7.00   sec   445 KBytes  3.65 Mbits/sec    0    180 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    236 KBytes       
[  4]   8.00-9.00   sec   700 KBytes  5.74 Mbits/sec    0    322 KBytes       
[  4]   9.00-10.00  sec   127 KBytes  1.04 Mbits/sec    5    322 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   62    233 KBytes       
[  4]  11.00-12.00  sec   255 KBytes  2.08 Mbits/sec    1    233 KBytes       
[  4]  12.00-13.00  sec   191 KBytes  1.57 Mbits/sec    4    173 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec    1    164 KBytes       
[  4]  14.00-15.00  sec   191 KBytes  1.56 Mbits/sec    0    164 KBytes       
[  4]  15.00-16.00  sec   318 KBytes  2.61 Mbits/sec    0    173 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.57 Mbits/sec    0    184 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec    0    194 KBytes       
[  4]  18.00-19.00  sec   191 KBytes  1.56 Mbits/sec    0    197 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    0    199 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.57 Mbits/sec    0    201 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    205 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    0    216 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    235 KBytes       
[  4]  24.00-25.00  sec   191 KBytes  1.56 Mbits/sec    0    272 KBytes       
[  4]  25.00-26.00  sec  63.6 KBytes   521 Kbits/sec   15    238 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   15    208 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    5    208 KBytes       
[  4]  28.00-29.00  sec   382 KBytes  3.13 Mbits/sec    0    173 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.08 Mbits/sec    0    148 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   521 Kbits/sec    0    157 KBytes       
[  4]  31.00-32.00  sec   127 KBytes  1.04 Mbits/sec    0    164 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    3    122 KBytes       
[  4]  33.00-34.00  sec   255 KBytes  2.09 Mbits/sec    0    120 KBytes       
[  4]  34.00-35.00  sec   127 KBytes  1.04 Mbits/sec    0    130 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    0    136 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec    0    139 KBytes       
[  4]  37.00-38.00  sec   127 KBytes  1.04 Mbits/sec    0    140 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec    0    143 KBytes       
[  4]  39.00-40.00  sec   127 KBytes  1.04 Mbits/sec    0    148 KBytes       
[  4]  40.00-41.00  sec   127 KBytes  1.04 Mbits/sec    0    161 KBytes       
[  4]  41.00-42.00  sec   127 KBytes  1.04 Mbits/sec    0    185 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    0    222 KBytes       
[  4]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec    1    287 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec   31    209 KBytes       
[  4]  45.00-46.00  sec  63.6 KBytes   521 Kbits/sec   20    201 KBytes       
[  4]  46.00-47.00  sec   382 KBytes  3.13 Mbits/sec    0    206 KBytes       
[  4]  47.00-48.00  sec   255 KBytes  2.09 Mbits/sec    0    232 KBytes       
[  4]  48.00-49.00  sec   191 KBytes  1.56 Mbits/sec    0    259 KBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec   21    181 KBytes       
[  4]  50.00-51.01  sec  0.00 Bytes  0.00 bits/sec    1    181 KBytes       
[  4]  51.01-52.00  sec   382 KBytes  3.14 Mbits/sec    0    182 KBytes       
[  4]  52.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    182 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-52.00  sec  10.2 MBytes  1.65 Mbits/sec  185             sender
[  4]   0.00-52.00  sec  8.59 MBytes  1.39 Mbits/sec                  receiver

iperf Done.
