Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   184 KBytes  1.50 Mbits/sec    0   15.6 KBytes       
[  4]   1.00-2.00   sec  69.3 KBytes   568 Kbits/sec    0   18.4 KBytes       
[  4]   2.00-3.00   sec  63.6 KBytes   521 Kbits/sec    0   21.2 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   36.8 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   50.9 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   77.8 KBytes       
[  4]   6.00-7.00   sec   191 KBytes  1.56 Mbits/sec    0    105 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    157 KBytes       
[  4]   8.00-9.00   sec   382 KBytes  3.13 Mbits/sec    0    212 KBytes       
[  4]   9.00-10.00  sec   191 KBytes  1.56 Mbits/sec    0    235 KBytes       
[  4]  10.00-11.00  sec   127 KBytes  1.04 Mbits/sec    0    252 KBytes       
[  4]  11.00-12.00  sec   382 KBytes  3.13 Mbits/sec   17    263 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    1    260 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   49    214 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    7    214 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec   73    178 KBytes       
[  4]  16.00-17.00  sec   255 KBytes  2.09 Mbits/sec   26    194 KBytes       
[  4]  17.00-18.00  sec   382 KBytes  3.13 Mbits/sec    0    150 KBytes       
[  4]  18.00-19.00  sec   191 KBytes  1.56 Mbits/sec    0    161 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    0    171 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    177 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec    0    178 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    180 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    180 KBytes       
[  4]  24.00-25.00  sec   191 KBytes  1.56 Mbits/sec    0    188 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    208 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   521 Kbits/sec    0    216 KBytes       
[  4]  27.00-28.00  sec   127 KBytes  1.04 Mbits/sec    0    272 KBytes       
[  4]  28.00-29.00  sec  63.6 KBytes   522 Kbits/sec    0    293 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0    293 KBytes       
[  4]  30.00-31.00  sec   954 KBytes  7.82 Mbits/sec    0    437 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    2    376 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    305 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0    305 KBytes       
[  4]  34.00-35.00  sec   509 KBytes  4.16 Mbits/sec    2    225 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    214 KBytes       
[  4]  36.00-37.00  sec   509 KBytes  4.17 Mbits/sec    0    215 KBytes       
[  4]  37.00-38.00  sec   127 KBytes  1.04 Mbits/sec    0    229 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec    0    236 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.09 Mbits/sec    0    250 KBytes       
[  4]  40.00-41.00  sec   191 KBytes  1.56 Mbits/sec    0    255 KBytes       
[  4]  41.00-42.00  sec   191 KBytes  1.56 Mbits/sec    0    257 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec    0    260 KBytes       
[  4]  43.00-44.00  sec   255 KBytes  2.08 Mbits/sec    0    267 KBytes       
[  4]  44.00-45.00  sec   255 KBytes  2.09 Mbits/sec    0    283 KBytes       
[  4]  45.00-46.00  sec   382 KBytes  3.12 Mbits/sec    0    308 KBytes       
[  4]  46.00-47.00  sec   445 KBytes  3.65 Mbits/sec    0    352 KBytes       
[  4]  47.00-48.00  sec   445 KBytes  3.65 Mbits/sec    0    407 KBytes       
[  4]  48.00-49.00  sec   573 KBytes  4.70 Mbits/sec    0    475 KBytes       
[  4]  49.00-50.00  sec  1018 KBytes  8.34 Mbits/sec    0    568 KBytes       
[  4]  50.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0    568 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-50.00  sec  10.7 MBytes  1.80 Mbits/sec  177             sender
[  4]   0.00-50.00  sec  8.22 MBytes  1.38 Mbits/sec                  receiver

iperf Done.
