Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   787 Kbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   286 KBytes  2.34 Mbits/sec    0   56.6 KBytes       
[  4]   2.00-3.00   sec   262 KBytes  2.14 Mbits/sec    0   76.4 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   79.2 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   83.4 KBytes       
[  4]   5.00-6.00   sec   127 KBytes  1.04 Mbits/sec    0    100 KBytes       
[  4]   6.00-7.00   sec   127 KBytes  1.04 Mbits/sec    8   91.9 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    1   90.5 KBytes       
[  4]   8.00-9.00   sec   191 KBytes  1.56 Mbits/sec    0   87.7 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    0   91.9 KBytes       
[  4]  10.00-11.00  sec  63.6 KBytes   521 Kbits/sec    0    105 KBytes       
[  4]  11.00-12.00  sec   127 KBytes  1.04 Mbits/sec    0    113 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    5   79.2 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec    2   79.2 KBytes       
[  4]  14.00-15.00  sec   191 KBytes  1.56 Mbits/sec    0   84.8 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec    0   91.9 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   522 Kbits/sec    0   94.7 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec    0   96.2 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec    0   97.6 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.57 Mbits/sec    0    103 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    117 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.09 Mbits/sec    0    139 KBytes       
[  4]  22.00-23.00  sec   318 KBytes  2.61 Mbits/sec    0    173 KBytes       
[  4]  23.00-24.00  sec   445 KBytes  3.65 Mbits/sec    0    228 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    240 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec   42    171 KBytes       
[  4]  26.00-27.00  sec   318 KBytes  2.61 Mbits/sec    0    174 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    202 KBytes       
[  4]  28.00-29.00  sec  63.6 KBytes   522 Kbits/sec   12    171 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec   10    148 KBytes       
[  4]  30.00-31.00  sec   318 KBytes  2.61 Mbits/sec    0    154 KBytes       
[  4]  31.00-32.00  sec   191 KBytes  1.56 Mbits/sec    0    167 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0    174 KBytes       
[  4]  33.00-34.00  sec  63.6 KBytes   521 Kbits/sec    0    177 KBytes       
[  4]  34.00-35.00  sec   191 KBytes  1.56 Mbits/sec    0    180 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    0    181 KBytes       
[  4]  36.00-37.00  sec   191 KBytes  1.56 Mbits/sec    0    185 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.56 Mbits/sec    0    197 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec    0    216 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.09 Mbits/sec    0    253 KBytes       
[  4]  40.00-41.00  sec   191 KBytes  1.56 Mbits/sec   17    225 KBytes       
