Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   304 KBytes  2.48 Mbits/sec    0   42.4 KBytes       
[  4]   1.00-2.00   sec   134 KBytes  1.10 Mbits/sec    0   46.7 KBytes       
[  4]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   49.5 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   50.9 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   66.5 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   99.0 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec   16   69.3 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   69.3 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   18   65.0 KBytes       
[  4]  10.00-11.00  sec  63.6 KBytes   520 Kbits/sec   11   69.3 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   522 Kbits/sec    4   55.1 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0   55.1 KBytes       
[  4]  13.00-14.00  sec   191 KBytes  1.56 Mbits/sec    0   48.1 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec    2   45.2 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    1   35.4 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   519 Kbits/sec    2   26.9 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    2   25.5 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec    3   17.0 KBytes       
[  4]  20.00-21.00  sec  63.6 KBytes   521 Kbits/sec    0   18.4 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   21.2 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0   21.2 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  25.00-26.00  sec  63.6 KBytes   521 Kbits/sec    0   43.8 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   66.5 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   66.5 KBytes       
[  4]  28.00-29.00  sec  63.6 KBytes   521 Kbits/sec    0    100 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec   15   70.7 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   70.7 KBytes       
[  4]  31.00-32.00  sec   127 KBytes  1.04 Mbits/sec    1   70.7 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0   74.9 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0   77.8 KBytes       
[  4]  34.00-35.00  sec  63.6 KBytes   521 Kbits/sec    0   90.5 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   90.5 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec    0   97.6 KBytes       
[  4]  37.00-38.00  sec  63.6 KBytes   522 Kbits/sec    0    100 KBytes       
