Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   672 Kbits/sec    0   14.1 KBytes       
[  4]   1.00-2.00   sec  14.1 KBytes   116 Kbits/sec    0   28.3 KBytes       
[  4]   2.00-3.00   sec   208 KBytes  1.70 Mbits/sec    0   42.4 KBytes       
[  4]   3.00-4.00   sec  70.7 KBytes   580 Kbits/sec    0   45.2 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   49.5 KBytes       
[  4]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    4   41.0 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    3   38.2 KBytes       
[  4]   7.00-8.00   sec  63.6 KBytes   521 Kbits/sec    1   38.2 KBytes       
[  4]   8.00-9.00   sec  63.6 KBytes   521 Kbits/sec    2   25.5 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    1   25.5 KBytes       
[  4]  10.00-11.00  sec  63.6 KBytes   522 Kbits/sec    0   28.3 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    1   25.5 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   522 Kbits/sec    0   21.2 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec    0   24.0 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   26.9 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   26.9 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   36.8 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec    0   56.6 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    0   84.8 KBytes       
[  4]  20.00-21.01  sec   318 KBytes  2.58 Mbits/sec    0    127 KBytes       
[  4]  21.01-22.00  sec  63.6 KBytes   527 Kbits/sec    7    100 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    1   91.9 KBytes       
[  4]  23.00-24.00  sec  63.6 KBytes   521 Kbits/sec    2   91.9 KBytes       
[  4]  24.00-25.00  sec   191 KBytes  1.56 Mbits/sec    0    102 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    117 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    127 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    3   94.7 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    2   89.1 KBytes       
[  4]  29.00-30.00  sec   127 KBytes  1.04 Mbits/sec    0   89.1 KBytes       
[  4]  30.00-31.00  sec   191 KBytes  1.56 Mbits/sec    0   67.9 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   521 Kbits/sec    0   66.5 KBytes       
[  4]  32.00-33.00  sec  63.6 KBytes   521 Kbits/sec    0   72.1 KBytes       
[  4]  33.00-34.00  sec  63.6 KBytes   520 Kbits/sec    3   62.2 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[  4]  35.00-36.00  sec  63.6 KBytes   521 Kbits/sec    0   52.3 KBytes       
[  4]  36.00-37.00  sec  63.6 KBytes   521 Kbits/sec    0   56.6 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    3   45.2 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   522 Kbits/sec    0   41.0 KBytes       
[  4]  39.00-40.00  sec  63.6 KBytes   521 Kbits/sec    0   43.8 KBytes       
[  4]  40.00-41.00  sec  63.6 KBytes   521 Kbits/sec    0   46.7 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   48.1 KBytes       
[  4]  42.00-43.00  sec  63.6 KBytes   521 Kbits/sec    0   48.1 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[  4]  44.00-45.00  sec  63.6 KBytes   521 Kbits/sec    1   58.0 KBytes       
[  4]  45.00-46.00  sec  63.6 KBytes   522 Kbits/sec    1   41.0 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    1   41.0 KBytes       
[  4]  47.00-48.00  sec  63.6 KBytes   521 Kbits/sec    0   45.2 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[  4]  49.00-50.00  sec  63.6 KBytes   521 Kbits/sec    0   55.1 KBytes       
[  4]  50.00-51.00  sec  63.6 KBytes   521 Kbits/sec    0   58.0 KBytes       
[  4]  51.00-52.00  sec   127 KBytes  1.04 Mbits/sec    0   60.8 KBytes       
[  4]  52.00-53.00  sec   191 KBytes  1.56 Mbits/sec    0   65.0 KBytes       
