Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   502 KBytes  4.11 Mbits/sec    0   49.5 KBytes       
[  4]   1.00-2.00   sec   255 KBytes  2.08 Mbits/sec    0   59.4 KBytes       
[  4]   2.00-3.00   sec   255 KBytes  2.09 Mbits/sec    0   70.7 KBytes       
[  4]   3.00-4.00   sec   255 KBytes  2.08 Mbits/sec    0   79.2 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   90.5 KBytes       
[  4]   5.00-6.00   sec   255 KBytes  2.08 Mbits/sec    0    115 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    161 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec   26    115 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    3    115 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec   12    107 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0    107 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  12.00-13.00  sec   509 KBytes  4.17 Mbits/sec    7    136 KBytes       
[  4]  13.00-14.00  sec   636 KBytes  5.21 Mbits/sec    0    167 KBytes       
[  4]  14.00-15.00  sec   509 KBytes  4.17 Mbits/sec    0    185 KBytes       
[  4]  15.00-16.00  sec   445 KBytes  3.65 Mbits/sec    0    205 KBytes       
[  4]  16.00-17.00  sec   573 KBytes  4.69 Mbits/sec    0    225 KBytes       
[  4]  17.00-18.00  sec   382 KBytes  3.13 Mbits/sec    0    242 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.09 Mbits/sec    0    260 KBytes       
[  4]  19.00-20.00  sec   445 KBytes  3.65 Mbits/sec    0    301 KBytes       
[  4]  20.00-21.00  sec   636 KBytes  5.21 Mbits/sec    0    368 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.57 Mbits/sec   99    283 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec   63    230 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec   78    283 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    283 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec   13    283 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   521 Kbits/sec   11   1.41 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    5   7.07 KBytes       
[  4]  28.00-29.00  sec   191 KBytes  1.56 Mbits/sec   58    153 KBytes       
[  4]  29.00-30.00  sec   445 KBytes  3.65 Mbits/sec    0    406 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    406 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec   11   1.41 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    9   12.7 KBytes       
[  4]  34.00-35.00  sec   127 KBytes  1.04 Mbits/sec  100    141 KBytes       
[  4]  35.00-36.00  sec   445 KBytes  3.65 Mbits/sec   32    297 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    407 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0    407 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    407 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    407 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec  192    284 KBytes       
[  4]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec   37    284 KBytes       
