Connecting to host 10.0.0.2, port 5206
[  4] local 10.0.0.1 port 46120 connected to 10.0.0.2 port 5206
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.08   sec  82.0 KBytes   621 Kbits/sec    0   14.1 KBytes       
[  4]   1.08-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.00-3.00   sec  14.1 KBytes   116 Kbits/sec    0   14.1 KBytes       
[  4]   3.00-4.00   sec  1.41 KBytes  11.6 Kbits/sec    0   15.6 KBytes       
[  4]   4.00-5.01   sec  55.1 KBytes   448 Kbits/sec    0   19.8 KBytes       
[  4]   5.01-6.00   sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  4]   6.00-7.01   sec  82.0 KBytes   668 Kbits/sec    0   31.1 KBytes       
[  4]   7.01-8.00   sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]   9.00-10.00  sec  1.41 KBytes  11.6 Kbits/sec    5   22.6 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec    2   22.6 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    7   22.6 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec    0   17.0 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   18.4 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   18.4 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[  4]  20.00-21.00  sec  63.6 KBytes   520 Kbits/sec    0   39.6 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   39.6 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.57 Mbits/sec    0   59.4 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   59.4 KBytes       
[  4]  24.00-25.02  sec   191 KBytes  1.54 Mbits/sec    0   89.1 KBytes       
[  4]  25.02-26.00  sec  0.00 Bytes  0.00 bits/sec    0   89.1 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   89.1 KBytes       
[  4]  27.00-28.00  sec  63.6 KBytes   521 Kbits/sec   17   66.5 KBytes       
[  4]  28.00-29.03  sec  0.00 Bytes  0.00 bits/sec    0   66.5 KBytes       
[  4]  29.03-30.12  sec  0.00 Bytes  0.00 bits/sec    0   66.5 KBytes       
[  4]  30.12-31.00  sec  0.00 Bytes  0.00 bits/sec    0   66.5 KBytes       
[  4]  31.00-32.02  sec  0.00 Bytes  0.00 bits/sec    6   56.6 KBytes       
[  4]  32.02-33.00  sec  0.00 Bytes  0.00 bits/sec    0   56.6 KBytes       
[  4]  33.00-34.05  sec  0.00 Bytes  0.00 bits/sec    0   56.6 KBytes       
[  4]  34.05-35.00  sec  0.00 Bytes  0.00 bits/sec   11   66.5 KBytes       
[  4]  35.00-36.11  sec  0.00 Bytes  0.00 bits/sec    0   66.5 KBytes       
[  4]  36.11-37.03  sec  63.6 KBytes   563 Kbits/sec   10   62.2 KBytes       
[  4]  37.03-38.00  sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[  4]  40.00-41.00  sec   191 KBytes  1.56 Mbits/sec    0   48.1 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   48.1 KBytes       
[  4]  42.00-43.01  sec  63.6 KBytes   518 Kbits/sec    0   52.3 KBytes       
[  4]  43.01-44.17  sec  63.6 KBytes   448 Kbits/sec    0   56.6 KBytes       
[  4]  44.17-45.03  sec  0.00 Bytes  0.00 bits/sec    0   56.6 KBytes       
[  4]  45.03-46.00  sec  0.00 Bytes  0.00 bits/sec    0   77.8 KBytes       
[  4]  46.00-47.01  sec  63.6 KBytes   521 Kbits/sec    0   82.0 KBytes       
[  4]  47.01-48.00  sec   191 KBytes  1.57 Mbits/sec    0    123 KBytes       
[  4]  48.00-49.00  sec   191 KBytes  1.57 Mbits/sec    0    148 KBytes       
[  4]  49.00-50.00  sec   255 KBytes  2.08 Mbits/sec    0    184 KBytes       
[  4]  50.00-51.00  sec   700 KBytes  5.72 Mbits/sec    0    276 KBytes       
[  4]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    276 KBytes       
[  4]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0    276 KBytes       
[  4]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    0    276 KBytes       
[  4]  54.00-55.01  sec  1018 KBytes  8.28 Mbits/sec    0    414 KBytes       
[  4]  55.01-56.00  sec  0.00 Bytes  0.00 bits/sec    0    414 KBytes       
[  4]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec   80    290 KBytes       
[  4]  57.00-58.01  sec  0.00 Bytes  0.00 bits/sec    0    290 KBytes       
[  4]  58.01-59.00  sec  0.00 Bytes  0.00 bits/sec   17    290 KBytes       
[  4]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec   49    250 KBytes       
[  4]  60.00-61.00  sec   255 KBytes  2.08 Mbits/sec   52    178 KBytes       
[  4]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec   19    124 KBytes       
[  4]  62.00-63.00  sec   255 KBytes  2.08 Mbits/sec   18    109 KBytes       
[  4]  63.00-64.00  sec   191 KBytes  1.56 Mbits/sec   12    156 KBytes       
[  4]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec    0    156 KBytes       
[  4]  65.00-66.00  sec   318 KBytes  2.61 Mbits/sec    3    180 KBytes       
[  4]  66.00-67.00  sec   127 KBytes  1.04 Mbits/sec    4    141 KBytes       
[  4]  67.00-68.00  sec   255 KBytes  2.09 Mbits/sec    0    148 KBytes       
[  4]  68.00-69.00  sec  63.6 KBytes   521 Kbits/sec    0    154 KBytes       
[  4]  69.00-70.00  sec   127 KBytes  1.04 Mbits/sec    0    165 KBytes       
[  4]  70.00-71.00  sec   127 KBytes  1.04 Mbits/sec    0    167 KBytes       
[  4]  71.00-72.00  sec  63.6 KBytes   522 Kbits/sec    0    168 KBytes       
[  4]  72.00-73.00  sec   191 KBytes  1.56 Mbits/sec    0    174 KBytes       
[  4]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec    0    174 KBytes       
[  4]  74.00-75.00  sec   127 KBytes  1.04 Mbits/sec    0    195 KBytes       
[  4]  75.00-76.00  sec  63.6 KBytes   522 Kbits/sec    0    214 KBytes       
[  4]  76.00-77.00  sec   127 KBytes  1.04 Mbits/sec    0    242 KBytes       
[  4]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0    242 KBytes       
[  4]  78.00-79.00  sec   191 KBytes  1.56 Mbits/sec    0    355 KBytes       
[  4]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    1    354 KBytes       
[  4]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec   65    247 KBytes       
[  4]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec   13    247 KBytes       
[  4]  82.00-83.00  sec  0.00 Bytes  0.00 bits/sec   75    194 KBytes       
[  4]  83.00-84.00  sec  0.00 Bytes  0.00 bits/sec    6    223 KBytes       
[  4]  84.00-85.00  sec  0.00 Bytes  0.00 bits/sec   14    247 KBytes       
[  4]  85.00-86.00  sec   318 KBytes  2.61 Mbits/sec   56    194 KBytes       
[  4]  86.00-87.00  sec  0.00 Bytes  0.00 bits/sec    0    191 KBytes       
[  4]  87.00-88.00  sec  63.6 KBytes   522 Kbits/sec   44    173 KBytes       
[  4]  88.00-89.00  sec   636 KBytes  5.20 Mbits/sec    0    180 KBytes       
[  4]  89.00-90.00  sec   191 KBytes  1.57 Mbits/sec    0    197 KBytes       
[  4]  90.00-91.00  sec   127 KBytes  1.04 Mbits/sec    0    202 KBytes       
[  4]  91.00-92.00  sec  63.6 KBytes   522 Kbits/sec    0    205 KBytes       
[  4]  92.00-93.00  sec   127 KBytes  1.04 Mbits/sec    0    208 KBytes       
[  4]  93.00-94.00  sec  63.6 KBytes   521 Kbits/sec    0    209 KBytes       
[  4]  94.00-95.01  sec   191 KBytes  1.55 Mbits/sec    0    221 KBytes       
[  4]  95.01-96.00  sec  63.6 KBytes   526 Kbits/sec    0    229 KBytes       
[  4]  96.00-97.00  sec   191 KBytes  1.56 Mbits/sec    0    262 KBytes       
[  4]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    0    283 KBytes       
[  4]  98.00-99.00  sec   127 KBytes  1.04 Mbits/sec    0    334 KBytes       
[  4]  99.00-100.00 sec  63.6 KBytes   521 Kbits/sec    0    366 KBytes       
[  4] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec   37    267 KBytes       
[  4] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec   25    259 KBytes       
[  4] 102.00-103.00 sec  63.6 KBytes   521 Kbits/sec   21    259 KBytes       
[  4] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec   41    243 KBytes       
[  4] 104.00-105.00 sec   255 KBytes  2.09 Mbits/sec   43    243 KBytes       
[  4] 105.00-106.00 sec  0.00 Bytes  0.00 bits/sec   29    259 KBytes       
[  4] 106.00-107.00 sec  0.00 Bytes  0.00 bits/sec   13    259 KBytes       
[  4] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec   35    259 KBytes       
[  4] 108.00-109.00 sec   891 KBytes  7.30 Mbits/sec    0    218 KBytes       
[  4] 109.00-110.00 sec  63.6 KBytes   521 Kbits/sec    0    191 KBytes       
[  4] 110.00-111.00 sec  63.6 KBytes   521 Kbits/sec    2    181 KBytes       
[  4] 111.00-112.00 sec   255 KBytes  2.08 Mbits/sec    0    191 KBytes       
[  4] 112.00-113.01 sec   127 KBytes  1.03 Mbits/sec    0    197 KBytes       
[  4] 113.01-114.00 sec   127 KBytes  1.05 Mbits/sec    0    208 KBytes       
[  4] 114.00-115.00 sec  63.6 KBytes   521 Kbits/sec    0    211 KBytes       
[  4] 115.00-116.00 sec   191 KBytes  1.56 Mbits/sec    0    216 KBytes       
[  4] 116.00-117.00 sec   191 KBytes  1.56 Mbits/sec    0    219 KBytes       
[  4] 117.00-118.00 sec  63.6 KBytes   521 Kbits/sec    0    221 KBytes       
[  4] 118.00-119.00 sec   127 KBytes  1.04 Mbits/sec    0    235 KBytes       
[  4] 119.00-120.00 sec  63.6 KBytes   521 Kbits/sec    0    242 KBytes       
[  4] 120.00-121.00 sec   127 KBytes  1.04 Mbits/sec    0    287 KBytes       
[  4] 121.00-122.00 sec  63.6 KBytes   521 Kbits/sec    0    310 KBytes       
[  4] 122.00-123.00 sec  0.00 Bytes  0.00 bits/sec    1    311 KBytes       
[  4] 123.00-124.00 sec  0.00 Bytes  0.00 bits/sec   38    218 KBytes       
[  4] 124.00-125.00 sec  0.00 Bytes  0.00 bits/sec    0    218 KBytes       
[  4] 125.00-126.00 sec   318 KBytes  2.61 Mbits/sec   36    218 KBytes       
[  4] 126.00-127.00 sec  0.00 Bytes  0.00 bits/sec   20    218 KBytes       
[  4] 127.00-128.00 sec  0.00 Bytes  0.00 bits/sec   31    209 KBytes       
[  4] 128.00-129.00 sec  63.6 KBytes   521 Kbits/sec   36    151 KBytes       
[  4] 129.00-130.00 sec   509 KBytes  4.17 Mbits/sec    0    153 KBytes       
[  4] 130.00-131.00 sec  63.6 KBytes   521 Kbits/sec    1    144 KBytes       
[  4] 131.00-132.00 sec  0.00 Bytes  0.00 bits/sec    0    107 KBytes       
[  4] 132.00-133.00 sec   255 KBytes  2.08 Mbits/sec    0    117 KBytes       
[  4] 133.00-134.00 sec   127 KBytes  1.04 Mbits/sec    0    126 KBytes       
[  4] 134.00-135.00 sec  0.00 Bytes  0.00 bits/sec    0    126 KBytes       
[  4] 135.00-136.00 sec   127 KBytes  1.04 Mbits/sec    0    129 KBytes       
[  4] 136.00-137.00 sec  63.6 KBytes   521 Kbits/sec    0    132 KBytes       
[  4] 137.00-138.00 sec  63.6 KBytes   521 Kbits/sec    0    134 KBytes       
[  4] 138.00-139.00 sec  63.6 KBytes   521 Kbits/sec    0    148 KBytes       
[  4] 139.00-140.00 sec  63.6 KBytes   522 Kbits/sec    0    158 KBytes       
[  4] 140.00-141.00 sec  63.6 KBytes   521 Kbits/sec    0    202 KBytes       
[  4] 141.00-142.00 sec  63.6 KBytes   521 Kbits/sec    0    222 KBytes       
[  4] 142.00-143.00 sec   127 KBytes  1.04 Mbits/sec    0    286 KBytes       
[  4] 143.00-144.00 sec  63.6 KBytes   522 Kbits/sec    0    331 KBytes       
[  4] 144.00-145.00 sec  0.00 Bytes  0.00 bits/sec    0    335 KBytes       
[  4] 145.00-146.00 sec  0.00 Bytes  0.00 bits/sec   70    233 KBytes       
[  4] 146.00-147.00 sec  0.00 Bytes  0.00 bits/sec    5    232 KBytes       
[  4] 147.00-148.00 sec  0.00 Bytes  0.00 bits/sec   43    198 KBytes       
[  4] 148.00-149.00 sec  0.00 Bytes  0.00 bits/sec    8    204 KBytes       
[  4] 149.00-150.00 sec  0.00 Bytes  0.00 bits/sec   43    233 KBytes       
[  4] 150.00-151.00 sec  0.00 Bytes  0.00 bits/sec   50    233 KBytes       
[  4] 151.00-152.00 sec  0.00 Bytes  0.00 bits/sec    3    233 KBytes       
[  4] 152.00-153.00 sec  0.00 Bytes  0.00 bits/sec   57    233 KBytes       
[  4] 153.00-154.00 sec  1.06 MBytes  8.86 Mbits/sec    0    180 KBytes       
[  4] 154.00-155.00 sec   127 KBytes  1.04 Mbits/sec    1    141 KBytes       
[  4] 155.00-156.00 sec  0.00 Bytes  0.00 bits/sec    0    116 KBytes       
[  4] 156.00-157.00 sec   255 KBytes  2.09 Mbits/sec    0    124 KBytes       
[  4] 157.00-158.00 sec  63.6 KBytes   521 Kbits/sec    0    130 KBytes       
[  4] 158.00-159.00 sec  63.6 KBytes   521 Kbits/sec    0    134 KBytes       
[  4] 159.00-160.00 sec   127 KBytes  1.04 Mbits/sec    0    139 KBytes       
[  4] 160.00-161.00 sec   127 KBytes  1.04 Mbits/sec    0    141 KBytes       
[  4] 161.00-162.01 sec   127 KBytes  1.03 Mbits/sec    0    147 KBytes       
[  4] 162.01-163.00 sec   127 KBytes  1.05 Mbits/sec    0    158 KBytes       
[  4] 163.00-164.00 sec  0.00 Bytes  0.00 bits/sec    0    167 KBytes       
[  4] 164.00-165.00 sec   127 KBytes  1.04 Mbits/sec    0    208 KBytes       
