Step; State; Reward
0; [[9.363e-02 4.145e+00 1.431e-04 9.747e-02 1.431e-04 1.431e-04 4.445e+00
  4.000e+00 9.460e-02 4.000e+00 4.000e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
1; [[9.363e-02 4.145e+00 1.431e-04 9.747e-02 1.431e-04 1.431e-04 4.445e+00
  4.000e+00 9.460e-02 4.000e+00 4.000e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
2; [[9.363e-02 4.145e+00 1.431e-04 9.747e-02 1.431e-04 1.431e-04 4.445e+00
  4.000e+00 9.460e-02 4.000e+00 4.000e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
3; [[9.363e-02 4.145e+00 1.431e-04 9.747e-02 1.431e-04 1.431e-04 4.445e+00
  4.000e+00 9.460e-02 4.000e+00 4.000e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
4; [[9.363e-02 4.145e+00 1.431e-04 9.747e-02 1.431e-04 1.431e-04 4.445e+00
  4.000e+00 9.460e-02 4.000e+00 4.000e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
5; [[9.363e-02 4.145e+00 1.431e-04 9.747e-02 1.431e-04 1.431e-04 4.445e+00
  4.000e+00 9.460e-02 4.000e+00 4.000e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
6; [[9.363e-02 4.145e+00 1.431e-04 9.747e-02 1.431e-04 1.431e-04 4.445e+00
  4.000e+00 9.460e-02 4.000e+00 4.000e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
7; [[9.363e-02 4.145e+00 1.431e-04 9.747e-02 1.431e-04 1.431e-04 4.445e+00
  4.000e+00 9.460e-02 4.000e+00 4.000e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
8; [[9.363e-02 4.145e+00 1.431e-04 9.747e-02 1.431e-04 1.431e-04 4.445e+00
  4.000e+00 9.460e-02 4.000e+00 4.000e+00 1.431e-04 1.431e-04 1.431e-04
