agent, num_iperfs, port_number, original_size, transfered, retries, flow_completion_time, bandwidth, iter
A1,2,5202,10M,9.95,-1,27.91,2.99,4
A1,2,5201,10M,9.99,-1,33.08,2.53,0
A1,2,46110,10M,10.0,0.0,16.8,5.0,3
A1,2,46110,10M,10.1,0.0,11.72,7.21,2
A1,2,5201,10M,9.96,-1,24.13,3.46,1
A1,2,5201,10M,9.94,-1,16.92,4.93,3
A1,2,46110,10M,10.1,21.0,32.97,2.56,0
A1,2,46110,10M,10.0,1.0,23.33,3.6,1
A1,2,5201,10M,10.0,-1,11.77,7.14,2
A1,2,5202,10M,9.97,-1,12.48,6.71,2
A1,2,46110,10M,10.1,1.0,17.45,4.84,4
A1,2,5202,10M,10.0,-1,17.31,4.84,3
A1,2,5202,10M,9.97,-1,34.4,2.43,1
A1,2,5201,10M,10.1,-1,17.64,4.79,4
A1,2,5202,10M,10.0,-1,31.98,2.62,0
A1,2,46112,10M,10.1,0.0,31.92,2.65,0
A1,2,46112,10M,10.0,1.0,33.57,2.51,1
A1,2,46112,10M,10.1,1.0,17.24,4.9,3
A1,2,46112,10M,10.1,0.0,12.43,6.8,2
A1,2,46112,10M,10.0,1.0,27.9,3.01,4
A1,2,46112,50M,50.8,1898.0,91.0,4.68,3
A1,2,46112,50M,51.2,818.0,78.0,5.51,2
A1,2,46112,50M,50.5,2410.0,92.0,4.6,0
A1,2,46112,50M,50.6,1371.0,95.0,4.47,1
A1,2,46112,50M,50.1,1618.0,87.0,4.83,4
A1,2,5201,50M,41.8,-1,82.55,4.25,3
A1,2,46110,50M,50.3,318.0,86.0,4.9,0
A1,2,46110,50M,50.3,1131.0,77.0,5.48,1
A1,2,5201,50M,44.1,-1,61.25,6.04,2
A1,2,5202,50M,43.7,-1,88.05,4.16,4
A1,2,5201,50M,46.2,-1,87.17,4.44,0
A1,2,46110,50M,50.0,2208.0,81.0,5.18,3
A1,2,46110,50M,50.4,243.0,60.0,7.04,2
A1,2,5201,50M,45.0,-1,78.24,4.82,1
A1,2,5202,50M,46.4,-1,95.89,4.06,1
