Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   671 Kbits/sec    0   14.1 KBytes       
[  4]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.00-3.00   sec  14.1 KBytes   116 Kbits/sec    0   28.3 KBytes       
[  4]   3.00-4.00   sec  15.6 KBytes   127 Kbits/sec    4   22.6 KBytes       
[  4]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]   5.00-6.00   sec  18.4 KBytes   151 Kbits/sec    5   22.6 KBytes       
[  4]   6.00-7.00   sec  18.4 KBytes   151 Kbits/sec    4   22.6 KBytes       
[  4]   7.00-8.00   sec  1.41 KBytes  11.6 Kbits/sec    0   22.6 KBytes       
[  4]   8.00-9.00   sec  18.4 KBytes   151 Kbits/sec    0   18.4 KBytes       
[  4]   9.00-10.00  sec  89.1 KBytes   730 Kbits/sec    0   18.4 KBytes       
[  4]  10.00-11.00  sec  63.6 KBytes   521 Kbits/sec    0   19.8 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   522 Kbits/sec    0   25.5 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec    0   38.2 KBytes       
[  4]  14.00-15.00  sec   191 KBytes  1.56 Mbits/sec    0   56.6 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec    0   87.7 KBytes       
[  4]  16.00-17.00  sec   318 KBytes  2.61 Mbits/sec    0    132 KBytes       
[  4]  17.00-18.00  sec   445 KBytes  3.65 Mbits/sec    0    188 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec    0    197 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec   38    143 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.57 Mbits/sec   12    143 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   520 Kbits/sec    0    143 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   522 Kbits/sec    7    103 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    9   99.0 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0   99.0 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    7   99.0 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    4   99.0 KBytes       
[  4]  27.00-28.00  sec  63.6 KBytes   522 Kbits/sec    0   97.6 KBytes       
[  4]  28.00-29.00  sec   318 KBytes  2.61 Mbits/sec    0   73.5 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   72.1 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    3   60.8 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec   24   43.8 KBytes       
[  4]  32.00-33.00  sec  63.6 KBytes   521 Kbits/sec    7   39.6 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    5   42.4 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    4   49.5 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec   17   43.8 KBytes       
[  4]  36.00-37.00  sec  63.6 KBytes   521 Kbits/sec    4   33.9 KBytes       
[  4]  37.00-38.00  sec   127 KBytes  1.04 Mbits/sec    1   36.8 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec    0   41.0 KBytes       
[  4]  39.00-40.00  sec  63.6 KBytes   521 Kbits/sec    0   41.0 KBytes       
[  4]  40.00-41.00  sec   127 KBytes  1.04 Mbits/sec    0   41.0 KBytes       
[  4]  41.00-42.00  sec  63.6 KBytes   521 Kbits/sec    0   43.8 KBytes       
[  4]  42.00-43.00  sec  63.6 KBytes   521 Kbits/sec    0   49.5 KBytes       
[  4]  43.00-44.00  sec  63.6 KBytes   521 Kbits/sec    0   67.9 KBytes       
[  4]  44.00-45.00  sec  63.6 KBytes   521 Kbits/sec    0   87.7 KBytes       
[  4]  45.00-46.00  sec  63.6 KBytes   521 Kbits/sec    0    120 KBytes       
[  4]  46.00-47.00  sec   127 KBytes  1.04 Mbits/sec    0    171 KBytes       
[  4]  47.00-48.00  sec   318 KBytes  2.61 Mbits/sec    1    243 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    6    225 KBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec   17    171 KBytes       
[  4]  50.00-51.00  sec   382 KBytes  3.13 Mbits/sec    0    174 KBytes       
[  4]  51.00-52.00  sec   127 KBytes  1.04 Mbits/sec    0    191 KBytes       
[  4]  52.00-53.00  sec   127 KBytes  1.04 Mbits/sec    0    205 KBytes       
[  4]  53.00-54.01  sec   191 KBytes  1.56 Mbits/sec    0    225 KBytes       
[  4]  54.01-55.00  sec   127 KBytes  1.05 Mbits/sec    8    209 KBytes       
[  4]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    0    164 KBytes       
[  4]  56.00-57.00  sec   255 KBytes  2.09 Mbits/sec    2    123 KBytes       
[  4]  57.00-58.00  sec   318 KBytes  2.60 Mbits/sec    0    123 KBytes       
[  4]  58.00-59.00  sec   127 KBytes  1.04 Mbits/sec    0    132 KBytes       
[  4]  59.00-60.00  sec   127 KBytes  1.04 Mbits/sec    0    136 KBytes       
[  4]  60.00-61.00  sec   127 KBytes  1.04 Mbits/sec    0    137 KBytes       
[  4]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec    3    123 KBytes       
[  4]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec    3   96.2 KBytes       
[  4]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec   10   96.2 KBytes       
[  4]  64.00-65.00  sec   255 KBytes  2.09 Mbits/sec   10   66.5 KBytes       
[  4]  65.00-66.00  sec  63.6 KBytes   521 Kbits/sec    3   66.5 KBytes       
[  4]  66.00-67.00  sec  63.6 KBytes   521 Kbits/sec    3   45.2 KBytes       
[  4]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    1   45.2 KBytes       
[  4]  68.00-69.00  sec  63.6 KBytes   521 Kbits/sec    1   38.2 KBytes       
[  4]  69.00-70.00  sec  63.6 KBytes   522 Kbits/sec    1   31.1 KBytes       
[  4]  70.00-71.00  sec  63.6 KBytes   521 Kbits/sec    0   33.9 KBytes       
[  4]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0   35.4 KBytes       
[  4]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    1   28.3 KBytes       
[  4]  73.00-74.00  sec  63.6 KBytes   521 Kbits/sec    0   25.5 KBytes       
[  4]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]  75.00-76.00  sec  63.6 KBytes   521 Kbits/sec    0   28.3 KBytes       
[  4]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   32.5 KBytes       
[  4]  78.00-79.00  sec  63.6 KBytes   521 Kbits/sec    0   42.4 KBytes       
[  4]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0   49.5 KBytes       
[  4]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec    0   63.6 KBytes       
[  4]  81.00-82.00  sec  63.6 KBytes   522 Kbits/sec    0   89.1 KBytes       
[  4]  82.00-83.00  sec  0.00 Bytes  0.00 bits/sec    0   96.2 KBytes       
