Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   672 Kbits/sec    0   14.1 KBytes       
[  4]   1.00-2.00   sec   222 KBytes  1.82 Mbits/sec    0   42.4 KBytes       
[  4]   2.00-3.00   sec  70.7 KBytes   579 Kbits/sec    0   45.2 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   46.7 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   55.1 KBytes       
[  4]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec   10   42.4 KBytes       
[  4]   6.00-7.00   sec   127 KBytes  1.04 Mbits/sec    0   45.2 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   45.2 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    7   32.5 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    0   33.9 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   36.8 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec    0   38.2 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0   39.6 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    1   35.4 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec    1   26.9 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec    0   31.1 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   36.8 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   36.8 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    1   29.7 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec    0   26.9 KBytes       
[  4]  20.00-21.00  sec  63.6 KBytes   522 Kbits/sec    0   29.7 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   522 Kbits/sec    0   33.9 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    5   24.0 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    1   24.0 KBytes       
[  4]  26.00-27.01  sec  0.00 Bytes  0.00 bits/sec    1   17.0 KBytes       
[  4]  27.01-28.00  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    3   17.0 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   520 Kbits/sec    0   18.4 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   521 Kbits/sec    0   21.2 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   21.2 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0   26.9 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   39.6 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  4]  36.00-37.00  sec   445 KBytes  3.65 Mbits/sec    0    120 KBytes       
[  4]  37.00-38.00  sec   636 KBytes  5.21 Mbits/sec    0    184 KBytes       
[  4]  38.00-39.00  sec   445 KBytes  3.65 Mbits/sec    0    235 KBytes       
[  4]  39.00-40.00  sec   891 KBytes  7.30 Mbits/sec    0    344 KBytes       
[  4]  40.00-41.00  sec   573 KBytes  4.68 Mbits/sec    0    404 KBytes       
[  4]  41.00-42.00  sec  1.24 MBytes  10.4 Mbits/sec    2    564 KBytes       
[  4]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec  124    396 KBytes       
[  4]  43.00-44.00  sec   318 KBytes  2.60 Mbits/sec    0    396 KBytes       
[  4]  44.00-45.00  sec   509 KBytes  4.17 Mbits/sec    0    410 KBytes       
[  4]  45.00-46.00  sec   382 KBytes  3.13 Mbits/sec    0    448 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec   35    313 KBytes       
[  4]  47.00-48.00  sec   382 KBytes  3.12 Mbits/sec    1    313 KBytes       
[  4]  48.00-49.00  sec   700 KBytes  5.74 Mbits/sec    0    328 KBytes       
[  4]  49.00-50.00  sec   318 KBytes  2.61 Mbits/sec    0    349 KBytes       
[  4]  50.00-51.00  sec   382 KBytes  3.13 Mbits/sec    0    365 KBytes       
[  4]  51.00-52.00  sec   318 KBytes  2.61 Mbits/sec    0    375 KBytes       
[  4]  52.00-53.00  sec   382 KBytes  3.13 Mbits/sec    0    378 KBytes       
[  4]  53.00-54.00  sec   382 KBytes  3.13 Mbits/sec    0    379 KBytes       
[  4]  54.00-55.00  sec   382 KBytes  3.13 Mbits/sec    0    382 KBytes       
[  4]  55.00-56.00  sec   382 KBytes  3.13 Mbits/sec    0    389 KBytes       
