Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   359 KBytes  2.93 Mbits/sec    0   43.8 KBytes       
[  4]   1.00-2.00   sec   127 KBytes  1.05 Mbits/sec    0   49.5 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.56 Mbits/sec    0   58.0 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.57 Mbits/sec    0   65.0 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.08 Mbits/sec    0   80.6 KBytes       
[  4]   5.00-6.00   sec   382 KBytes  3.13 Mbits/sec    0    115 KBytes       
[  4]   6.00-7.00   sec   445 KBytes  3.65 Mbits/sec    0    163 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    215 KBytes       
[  4]   8.00-9.00   sec   700 KBytes  5.73 Mbits/sec    0    296 KBytes       
[  4]   9.00-10.00  sec   827 KBytes  6.76 Mbits/sec    0    404 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   37    313 KBytes       
[  4]  11.00-12.00  sec   127 KBytes  1.04 Mbits/sec   45    288 KBytes       
[  4]  12.00-13.00  sec   509 KBytes  4.17 Mbits/sec    0    293 KBytes       
[  4]  13.00-14.00  sec   318 KBytes  2.61 Mbits/sec    0    322 KBytes       
[  4]  14.00-15.00  sec   318 KBytes  2.60 Mbits/sec    0    359 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   12    293 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.56 Mbits/sec   12    253 KBytes       
[  4]  17.00-18.00  sec   445 KBytes  3.65 Mbits/sec    0    259 KBytes       
[  4]  18.00-19.00  sec   318 KBytes  2.61 Mbits/sec    0    276 KBytes       
[  4]  19.00-20.00  sec   255 KBytes  2.09 Mbits/sec    0    290 KBytes       
[  4]  20.00-21.00  sec   255 KBytes  2.08 Mbits/sec    0    300 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    304 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    305 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    307 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    311 KBytes       
[  4]  25.00-26.00  sec  63.6 KBytes   521 Kbits/sec   33    235 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   54    209 KBytes       
[  4]  27.00-28.00  sec  63.6 KBytes   521 Kbits/sec    1    219 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    5    219 KBytes       
[  4]  29.00-30.00  sec   827 KBytes  6.78 Mbits/sec    0    161 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   521 Kbits/sec    1    143 KBytes       
[  4]  31.00-32.00  sec   191 KBytes  1.56 Mbits/sec    0    110 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0    116 KBytes       
[  4]  33.00-34.00  sec  63.6 KBytes   522 Kbits/sec    3    116 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    2   84.8 KBytes       
[  4]  35.00-36.00  sec   127 KBytes  1.04 Mbits/sec    2   84.8 KBytes       
[  4]  36.00-37.00  sec  63.6 KBytes   522 Kbits/sec    7   59.4 KBytes       
[  4]  37.00-38.00  sec   255 KBytes  2.08 Mbits/sec    0   65.0 KBytes       
[  4]  38.00-39.00  sec   255 KBytes  2.08 Mbits/sec    0   72.1 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.09 Mbits/sec    0   72.1 KBytes       
[  4]  40.00-41.00  sec   318 KBytes  2.61 Mbits/sec    0   72.1 KBytes       
[  4]  41.00-42.00  sec   255 KBytes  2.08 Mbits/sec    0   76.4 KBytes       
[  4]  42.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   76.4 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-42.00  sec  10.0 MBytes  2.01 Mbits/sec  214             sender
[  4]   0.00-42.00  sec  7.77 MBytes  1.55 Mbits/sec                  receiver

iperf Done.
